date,time,food_name,ingredients,vitamins,nutrients_with_grams
2025-10-24,15:00:00,Apple Slices with Peanut Butter,"Apple, Peanut butter, Chia seeds","Vitamin C, Fiber, Protein, Healthy Fats","Protein: 8g, Fat: 16g, Carbs: 25g, Fiber: 7g, Sugar: 18g"
2025-10-24,11:00:00,Mango Smoothie,"Mango, Banana, Greek yogurt, Almond milk, Honey","Vitamin C, Vitamin A, Potassium, Vitamin B6","Protein: 10g, Fat: 5g, Carbs: 50g, Fiber: 6g, Sugar: 35g"
2025-10-25,16:30:00,Chocolate Chip Cookie,"Flour, Butter, Sugar, Brown sugar, Chocolate chips, Egg, Vanilla extract","Iron, Fiber","Protein: 4g, Fat: 14g, Carbs: 35g, Fiber: 2g, Sugar: 22g"
2025-10-25,12:15:00,Caesar Salad,"Romaine lettuce, Croutons, Parmesan cheese, Caesar dressing, Anchovies","Vitamin A, Vitamin K, Calcium, Iron","Protein: 9g, Fat: 22g, Carbs: 15g, Fiber: 3g, Sugar: 2g"
2025-10-26,19:00:00,Veggie Burger,"Black bean patty, Whole wheat bun, Lettuce, Tomato, Onion, Avocado","Fiber, Protein, Vitamin C, Folate","Protein: 20g, Fat: 15g, Carbs: 45g, Fiber: 12g, Sugar: 8g"
2025-10-26,20:15:00,Pad Thai,"Rice noodles, Shrimp, Tofu, Bean sprouts, Peanuts, Egg, Tamarind sauce","Protein, Vitamin C, Niacin, Iron","Protein: 25g, Fat: 20g, Carbs: 50g, Fiber: 5g, Sugar: 10g"
2025-10-27,13:00:00,Chicken Noodle Soup,"Chicken breast, Egg noodles, Carrots, Celery, Onion, Chicken broth","Vitamin A, Niacin, Selenium, Protein","Protein: 22g, Fat: 8g, Carbs: 25g, Fiber: 3g, Sugar: 4g"
2025-10-27,18:30:00,Caprese Salad,"Fresh mozzarella, Tomatoes, Fresh basil, Balsamic glaze, Olive oil","Lycopene, Vitamin C, Vitamin A, Calcium, Vitamin K","Protein: 15g, Fat: 20g, Carbs: 8g, Fiber: 2g, Sugar: 5g"
2025-10-28,19:45:00,Fish Tacos,"Cod, Corn tortillas, Cabbage slaw, Avocado, Lime, Cilantro, Chipotle sauce","Protein, Omega-3, Vitamin C, Vitamin K, Fiber","Protein: 28g, Fat: 18g, Carbs: 30g, Fiber: 7g, Sugar: 3g"
2025-10-28,10:30:00,Banana Bread,"Bananas, Flour, Sugar, Butter, Eggs, Walnuts, Vanilla extract","Potassium, Vitamin B6, Fiber, Omega-3","Protein: 5g, Fat: 15g, Carbs: 40g, Fiber: 3g, Sugar: 20g"
2025-10-29,09:00:00,Omelette,"Eggs, Bell peppers, Onion, Cheddar cheese, Ham, Milk","Protein, Vitamin B12, Vitamin D, Vitamin A, Calcium","Protein: 25g, Fat: 22g, Carbs: 5g, Fiber: 2g, Sugar: 2g"
2025-10-29,14:00:00,Fruit Salad,"Strawberries, Blueberries, Grapes, Kiwi, Pineapple, Mint, Lime juice","Vitamin C, Vitamin K, Potassium, Fiber, Antioxidants","Protein: 2g, Fat: 1g, Carbs: 30g, Fiber: 5g, Sugar: 22g"
2025-10-30,19:15:00,Steak and Potatoes,"Sirloin steak, Russet potatoes, Asparagus, Butter, Garlic, Thyme","Protein, Iron, Vitamin B12, Zinc, Vitamin B6, Vitamin C","Protein: 45g, Fat: 30g, Carbs: 40g, Fiber: 6g, Sugar: 4g"
2025-10-30,12:45:00,Minestrone Soup,"Kidney beans, Cannellini beans, Carrots, Celery, Onion, Tomatoes, Pasta, Vegetable broth","Fiber, Protein, Vitamin A, Vitamin C, Iron, Folate","Protein: 14g, Fat: 4g, Carbs: 35g, Fiber: 12g, Sugar: 7g"
2025-10-31,12:00:00,Quiche Lorraine,"Pie crust, Bacon, Swiss cheese, Eggs, Heavy cream, Onion, Nutmeg","Protein, Calcium, Vitamin B12, Saturated Fat, Selenium","Protein: 20g, Fat: 35g, Carbs: 25g, Fiber: 2g, Sugar: 3g"
